region.Region,region.Country,region.relevance,region.BidFactor,region.eCPM,region.eFlightSpend,region.cumulativeSpend,region.eCPA,region.cumulativeEcpa,region.eCTR,region.eCPC,region.eViewability
Colorado,United States,3.48,2.25,2.94,42649,72745.68,5312.08,3014.29,8.70E-04,3.28,0.4823
Harrow,United Kingdom,3.44,2.24,3.65,298,73043.89,6676.78,3021.05,6.90E-04,5.33,0.5724
California,United States,3.13,2.14,3.1,232739,305783.29,6226.07,4967.26,8.50E-04,3.58,0.5484
Provincia di Bologna,Italy,3.08,2.12,1.45,63,305846.49,2955.38,4966.56,0.00102,1.44,0.5393
Rhondda Cynon Taf,United Kingdom,3.05,2.12,3.45,193,306039.78,7112.22,4967.51,9.00E-04,3.87,0.5681
Bahia,Brazil,2.97,2.09,0.9,199,306238.55,1898,4962.3,5.30E-04,1.77,0.3996
Lambeth,United Kingdom,2.84,2.04,3.61,233,306471.69,8006.7,4963.74,6.80E-04,5.33,0.5695
Hackney,United Kingdom,2.83,2.04,3.64,220,306763.67,8100.93,4964.41,5.50E-04,6.6,0.5559
Lesser Poland Voivodeship,Poland,2.83,2.04,1.39,72,306763.67,3082.39,4964.41,5.90E-04,2.42,0.5682
Royal Kensington and Chelsea,United Kingdom,2.77,2.02,3.68,567,307331.02,8347.17,4968.12,7.70E-04,4.8,0.5325
Ankara,Turkey,2.7,1.99,0.42,25,307355.71,980.3,4966.5,7.60E-04,0.59,0.1402
Tel Aviv,Israel,2.66,1.98,1.66,91,307446.95,3917.95,4966.11,5.30E-04,2.97,0.5115
Province of Pampanga,Philippines,2.6,1.96,0.91,278,307725.35,2209.6,4960.51,8.40E-04,1.08,0.467
Paris,France,2.55,1.94,1.18,965,308690.36,2906.85,4949.58,9.50E-04,1.24,0.4668
Surrey,United Kingdom,2.43,1.89,3.57,1364,310054.54,9250.09,4959.72,6.10E-04,5.97,0.5951
Land Berlin,Germany,2.42,1.88,2.12,1158,311212.7,5519.19,4961.59,6.20E-04,3.6,0.4739
Murcia,Spain,2.39,1.87,1.8,83,311295.54,4741.04,4961.53,9.20E-04,1.94,0.5232
Mato Grosso do Sul,Brazil,2.36,1.86,0.9,56,311386.91,2411.59,4959.92,4.40E-04,2.14,0.424
Oita,Japan,2.36,1.86,0.85,35,311386.91,2268.3,4959.92,9.60E-04,0.81,0.4573
Slough,United Kingdom,2.35,1.85,3.45,305,311692.06,9234,4962.17,6.20E-04,5.6,0.5732
Sergipe,Brazil,2.25,1.81,0.91,30,311721.68,2540.02,4961.72,5.00E-04,1.89,0.4163
Richmond upon Thames,United Kingdom,2.21,1.79,3.75,249,311970.26,10676.24,4963.83,6.00E-04,6.31,0.5806
Coventry,United Kingdom,2.16,1.77,3.61,469,313975.61,10521.14,4972.67,6.80E-04,5.32,0.5687
