data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
Audience - Lifestyle > Fitness & Exercise > High Confidence,DataAlliance,16.46,3.8,7.5,372,0
Germany > Reach > Seasonal and Holiday > Winter-Schlussverkauf (Winter Close-Out Sale),addthis,16.43,3.8,1.3,13,0
"Finance > Household Income > $200,000 - $249,999",bluekai,16.38,3.8,2.81,12,250200
Audience - Interests > Health > Womens Health > High Confidence,DataAlliance,16.36,3.79,3.1,130,0
Audience - Interests > Business > Advertising & Marketing > Confident,DataAlliance,16.34,3.79,2.85,80,0
interests > business > news > strong affinity,DataAlliance,16.3,3.79,2.11,115,0
Travel > Purpose > Business,visualdna,16.2,3.79,2.06,75,0
Nielsen TV > Overall > Cable TV Channels - Light Viewers,exelate,16.16,3.78,10.95,72,0
lifestyle > upscale > affinity,DataAlliance,16.14,3.78,4.61,93,0
Branded Data > Lotame > Home & Family > Personal Finance,bluekai,16.08,3.78,3.75,34,105715800
Intent > Auto - Buyers > Car Makes > Hyundai,eyeota,16.07,3.78,2.65,14,0
Interest  > Sports > Athletics,eyeota,15.94,3.77,4.03,292,0
Branded Data > Edmunds > Makes & Models > Ford > Escape,bluekai,15.94,3.77,3.46,27,0
Retail > Retail - Apparel > Retail - Apparel - Ann Taylor > Retail - Apparel - Ann Taylor - All Credit/Debit Buyers,exelate,15.9,3.77,5.44,43,0
Branded Data > Neustar AdAdvisor > Shopping > Department/Discount/Warehouse > Target,bluekai,15.84,3.76,4.34,26,47950000
Demographic > Education > Bachelor Degree,bluekai,15.83,3.76,4.06,57,2493400
US > Premium > Technology > Social > Technology Shoppers,addthis,15.81,3.76,1.79,33,0
Retail > Retail - Apparel > Retail - Apparel - Shoe Stores > Retail - Apparel - Shoe Stores - DSW > Retail - Apparel - Shoe Stores - DSW - All Credit/Debit Buyers,exelate,15.64,3.75,3.49,56,0
Audience - Interests > Business > High Confidence,DataAlliance,15.58,3.75,2.62,211,0
Automobiles > Models > Mercedes-Benz E-Class,lotame,15.52,3.74,1.02,3,0
UK CACI > Ocean > Demographic > Inferred Household Income > 75000+ GBP,eyeota,15.41,3.74,5.98,127,0
singapore > women declared,lotame,15.33,3.73,8.17,471,0
US > Premium > Political >  Politics >  Political Lifestyle,addthis,15.31,3.73,4.56,63,0
Audience - Interests > Business > Small Business > Extreme Confidence,DataAlliance,15.25,3.72,18.11,148,0
Germany > Reach > In-Market > Retail > Computers,addthis,15.2,3.72,1.29,9,0
Branded Data > Clearspring > In-Market > Education > Degrees > Masters,bluekai,15.19,3.72,4.55,46,1219520
"B2B Demo > Company Size > Large (1,000 - 4,999 Employees)",bluekai,15.19,3.72,4.75,30,11349200
lifestyle > upscale > extreme,DataAlliance,15.09,3.71,2.1,174,0
Interest > Auto - Owners > Auto - Owners - Ford Car,exelate,15.05,3.71,9.53,274,1
Audience - Interests > Computers > Computer Programming > Confident,DataAlliance,15.02,3.71,2.11,12,0
Audience - Interests > News & Politics > Business News > High Confidence,DataAlliance,15,3.71,6.26,261,0
Audience - Interests > Fitness & Exercise > Diet & Weight Loss > High Confidence,DataAlliance,15,3.71,3.41,39,0
purchase intent > finance > strong affinity,DataAlliance,14.97,3.71,2.2,144,0
Web Browsing > Entertainment Sites > Visit Hulu.Com in the Last 30 Days,targus,14.88,3.7,1.8,10,0
Intent > Travel > Travel - Destination > Travel - Destination - North America > Travel - Destination - North America - US > Travel - Destination - North America - US - New York - New York JFK LGA EWR,exelate,14.85,3.7,9.43,49,1
Audience - Interests > Finance > Financial Planning > High Confidence,DataAlliance,14.72,3.69,2.89,185,0
Branded Data > I-Behavior > UK Data > Demographics > Gender > Female,bluekai,14.63,3.68,5.36,67,0
US > Premium > Financial >  Personal Finance >  Investment Retirement,addthis,14.53,3.68,1.08,56,0
Interest > Electronics & Computers > Components,bluekai,14.49,3.67,1.77,31,12600
Branded Data > Clearspring > Education > Education > College Admissions,bluekai,14.45,3.67,4.03,21,55200
Intent > Travel > Travel - Destination > Travel - Departure - North America > Travel - Departure - North America - US - San Francisco-SFO,exelate,14.41,3.67,2.8,21,1
RCN New York IP,DataAlliance,14.34,3.66,6.42,60,1
Retail > Retail - Apparel > Retail - Apparel - Gap > Retail - Apparel - Gap - Heavy Credit/Debit Buyer,exelate,14.27,3.66,5.07,27,0
